ENFP	age issue mind matter
ESTJ	anyone stop old twenty eighty anyone stay young greatest thing life mind young
ENFP	wrinkle smile
ENFP	true terror morning discover high school class country
ESFJ	older le attention men
INFJ	archaeologist best husband woman older interested
ENTJ	bashfulness ornament youth reproach old age
INFP	ala certain age man responsible face
ESTP	old age everything success young
ENTP	person virtue age loss energy
INTJ	old mind old horse order
ISTP	old name black book m. d.
ESTP	rebel twenty heart establishment thirty brain
INTP	common sense collection prejudice age
INTP	certain age diverts mind creative pursuit man read us own brain little fall lazy habit
INTP	confusion goal perfection mean opinion age
INTP	perfection mean confusion end age
ENFP	life happier age eighty eighteen
INTJ	ask question do able person old age everything marriage transitory
INFJ	human being greatness lie able world myth atomic age able ourselves
INFP	man meat youth age
INFJ	country age priest hostile liberty
INFP	age
INFJ	formula religion age reason acid test reason universal assent
ESFP	thomas jefferson we president age work 
ENFP	woman accurate age
ENTP	twenty year age reign thirty wit forty judgment
ENFP	age love extent protects age
ESFP	information oxygen modern age wall wire electrified border
ESFP	world law age self-determination world war age mass extermination
ENTJ	education best provision old age
ISFP	easier old age young life
ENFJ	poor ghetto girl good somebody early age responsible good
ISFP	kid old enough kid age kid
ENFJ	society responsible education child education adult age
ESTP	hesitation increase relation equal proportion age
ENFJ	book pas personal freedom age whole world went farm mississippi
INFP	age such thing politics  issue political issue politics mass lie evasion schizophrenia
ENFP	secret genius spirit child old age mean enthusiasm
ESFP	information age entertainment age
ENTP	spirit age misery
ISTP	able age important talent late
ESTP	age wrinkle body quitting wrinkle soul
ENTP	age bladder
ESTP	men age object consult adventure little repent seldom drive business home full period content themselves mediocrity success
ENTJ	bore certain age opposite sex certain age past age
ISTP	young old age
ISTJ	youth age
ISFP	biggest disease world suffers day age disease people love minute hour day month happy
ENFP	charm history enigmatic lesson consist fact age age nothing change everything different
ISFP	punk day age do britney walking tie punk hell sid vicious new generation
ENFP	genius age ten
INTJ	age own poetry age circumstance history choose nation race class torch creating situation poetry
ISFP	certain age men older men younger new wife
ESFP	publishing kind jurassic age
ENTP	certainty hesitation chief thing philosophy age study
ENTP	possible mankind threshold golden age necessary first dragon guard door dragon religion
ENTJ	nobody trust body overmuch age fifty
ESTJ	problem old age
ESFJ	bad news wine age
INFP	true feeling adult instinctive age onwards
ENTP	admiration proletariat dam power station aeroplane part ideology machine age
ENTP	age chivalry sophisters economist calculator glory europe
INTJ	ruling idea age idea ruling class
ENTP	arrogance age youth
ISFP	biggest disease day age people
ISTJ	few woman such reason long sad year youth worth sake middle age
ESTJ	own life own small way country job law firm career public service empower young people volunteer community because matter age background life something life nation
ISFP	18th birthday such nice age young enough thing old enough
INFP	man body distinct soul body portion soul sens chief inlet soul age
ESTJ	voter idiot voter set philosophical principle age conservative liberal iq toaster
INFJ	adult child blown age
INTP	intelligent life planet age reason own existence
ESTP	age juvenile gun
INTP	prep school age
ESFJ	afraid day age trust loyalty
ENFJ	digital age gap dreaming record song studio producer laptop
ESFJ	teacher child child veterinarian age ten mouth oh god  knew teaching veterinarian gon na
INFP	age genius age riot extravagance cleanliness hard work
ISFP	child play instrument early age
