ENFP	you it
ESTJ	who who your
ENFP	your
ESFJ	i i what i what they
INFJ	she he her
INFP	his
ESTP	it you
ENTP	what
INTJ	you them you them
ISTP	you you your them
ESTP	you you you you
INTP	its who his
INTP	my our
INTP	our
ENFP	we
INTJ	yourself you you your
INFJ	our
INFP	his he his
INFP	us us
ESFP	his his he me i
ENFP	her it
ENFP	you you
ESFP	it it
ESFP	we
ISFP	i it you your you you you
ENFJ	i myself who i myself who i myself i
ISFP	i them i them they i them
ENFJ	my i our
INFP	our itself
ENFP	your
ESFP	we we
ENTP	he who it
ISTP	i it me
ENTP	i you me my i me
ENTJ	you yourself i i
ISTP	you
ISFP	i i i i i i
ENFP	its
ISFP	i you what i i
ENFP	we
INTJ	its
ISFP	i they it their
ENTP	our who it
ENTP	it it
ENTJ	his
ESTJ	i i
ESFJ	it
INFP	your
INTJ	its
ISTJ	i i
ESTJ	my my i me i their i us what our us
ISFP	i my i you you
INFP	his
ESTJ	they you you
INFJ	what
INTP	it its
ESTP	i we
INTP	i my
ESFJ	i i you i i
ENFJ	what me what me you you it you you you
ESFJ	i i i i i my what i
INFP	it endeavour
ISFP	i we
ESTJ	i myself i i i i i i i
ESTP	we it we
INFJ	it it it it
INFP	it us it
INTP	it it you you it
ISFP	my my i who you you
INTJ	i they i i i i i they
INFP	i you it it
ISFP	i i you you you you you you i
INTJ	i my i it i i they i i i i i they
ENFP	you what me i who we
ENTP	i you i
INFP	you you yourself you
INFJ	you you you you what you your
ESFJ	you you yourself you you i myself
ISFJ	i i
INFP	you we we
ENTP	i you me my it
ESTP	my my what they they their i
INFJ	it me i
ESFJ	i we
INTP	itself me
INFJ	i my them me
ISTP	i who i i my who i i myself it it you i myself
ENFP	i it i it i
ESTP	i i
ESTP	i i it my
ENFJ	i i me i i you it you you
ISFP	i i it
ENFJ	i my i i i my i
ESFJ	i i it i it i i it i it i what i
INFP	you you it you you you you you your
ENTP	i i i i my i you i
ISTJ	i i i what my
ENTP	i it me who my
ISTP	my she my i
ISTP	i i it i myself it i what i
INFJ	it
INFJ	it it
INFP	i i it
ENTJ	i i you you your it
ENTP	you you you your you
ESTP	my their
ENFJ	they
ESFJ	you you you
ESTJ	you your your you
ENFP	i i they i what you their
ISTP	me i me i i i me
INFJ	it i it my
INFJ	i my who i my it my it
ENFJ	it you your you
ESFP	she what her you who it
ENTJ	i
ISFJ	i you my
ISFJ	my who
ISTP	i i i my i
INTJ	i i i they who i my
ENFP	i you it it you it you it you it you
ESFJ	we i
INFP	i i
ESFP	i my we our i
ESFP	i i who
ESFP	i i i my i i myself who herself
ENTJ	it i
INFJ	i
INFJ	you you it i i i
INFP	me what i i
INTP	i i my my
INTP	you my you you it i my
INTP	i it i myself
INFP	i they you
ENTP	we what we it what you it
INFP	i my
INFP	i we we it
ISFP	i me it
ISTP	i i i what my
INFP	you you you you it
INFP	i i
INFP	you yourself you you you you it you it you i i it you
ESTJ	i it we
ENFP	my she me i my my
ISTP	what i my you yourself you i who their
ISTP	i my
INFJ	your me
ESFP	i i my i i
ISTP	my they i
ISTP	i it i who i me my
