ENFP	is do mind does matter
ESTJ	learning is keeps learning is keep
ENFP	should indicate have been
ENFP	is wake is running
ESFJ	grow pay say watch do
INFJ	is can have gets is
ENTJ	is
INFP	is
ESTP	is make have got start
ENTP	consider is
INTJ	are must exercise wish keep working
ISTP	know are getting have
ESTP	have turned have got have turned have got
INTP	is acquired
INTP	reading thinking
INTP	seems characterize
INTP	seem characterize
ENFP	would be could be born
INTJ	marrying believe will be converse is
INFJ	being remake is being remake
INFP	loves can endure
INFJ	had been
INFP	golden is
INFJ	has submit
ESFP	said should judge told stopped worrying
ENFP	should be looks calculating
ENTP	will
ENFP	does protect love
ESFP	is seeps topped barbed wafts
ESFP	prefer
ENTJ	is
ISFP	think would be avoid die d complete would d know
ENFJ	do think deprived made think knew was had make
ISFP	are want let be do want comment are want let be
ENFJ	should feel
ESTP	risk
ENFJ	were learned read discovered was conquer
INFP	is keeping are is hatred
ENFP	is carry losing
ESFP	are are
ENTP	has has
ISTP	think being is is
ENTP	do need remind have do
ENTJ	dressing is decorate attract did am
ISTP	can die
ISTJ	knew could
ISFP	think is feeling unloved know can give can give am do want do
ENFP	is
ISFP	created see wearing singing s do am
ENFP	are
INTJ	has take can be expressed transcended
ISFP	suppose reach are afraid grow seems get get
ESFP	is
ENTP	teach live being paralysed is can do
ENTP	is is will be slay is
ENTJ	expects
ESTJ	have must confess
ESFJ	is does improve
INFP	expose seems be
ENTP	is
ENTP	is gone has succeeded is extinguished
INTJ	have been
ENTP	must submit be taught
ISFP	is feeling unloved
ISTJ	fear have had have think were living
ESTJ	have tried give has given s left working believe walk has contribute
ISFP	cried thought was are get are
INFP	has called is discerned
ESTJ	swing are known have are have
INFJ	is
INTP	comes works
ESTP	think ought raise can have
INTP	was confirmed
ESFJ	am count know love love
ENFJ	turns excited is have closed doing see used be wanted make needed need
ESFJ	wanted be love wanted deal wanted be opened said s kind being were have wait
INFP	seems must be succeeded
ISFP	believe should encourage sing
ESTJ	am am was looking see was doing was was wanted be was have gotten am comparing
ESTP	have entered is permitting has become is industrialized have entered educated
INFJ	is is be contrasted is whereas preserves giving does
INFP	s catastrophes s look run
INTP	s amazing called is s account can get
ISFP	was was bullied do think are
INTJ	was would say thought looked think did think have says do deserve
INFP	love regret is follows
ISFP	am am get are forbidden are going get would like are going get played are going get played have survive
INTJ	am look think was would say thought looked think did think have says do deserve
INTJ	bombing was does shows is being bombed
ENFP	is
ENFP	know feel see are think kind
ENTP	will tell is being believe can happen
INFP	get prepare get
INFJ	age go are are s is are
ESFJ	see fail see fail do keep keep going am afraid make
ISFJ	am was am trying
INFP	d think have made would figure tackle
ENTP	know would save was lose weight look draped
ESTP	is thinking are going do spend thinking spend drinking
INFJ	became was would have do
ESFJ	should be considered think get
INTP	be must be would be make
INFJ	remember travelling seeing being beaten stayed
ISTP	am asked am know have could say know do know
ENFP	see s see keep
ENFP	does does matter
ESTP	is have had encounter hit
ESTP	ca hit did decide does feel
ENFJ	knew wanted act was do believe do believe get is are going is were going be
ISFP	knew did want miss had offer might be considered
ENFJ	was being was born stopped growing lived dad was
ESFJ	have done is getting married think s think s am going say would do have make s settling have do is kind did
INFP	choose are raised s were raised do get are have been formed
ENTP	was think was was know was
ISTJ	had was used learned meant
ENTP	wrote s amazing are have responded are excited
ISTP	had s am is
ISTP	think am inhibited thinking speaking s being am started can be say think
INFJ	may is hoped enlightened be contested
INFJ	has been has carried given were
INFP	demanding do is going
INFP	was want keep
ENTJ	do believe do believe die live watch die s
ENTP	can have love can happen can start get are have believe
ESTP	does reward
ENFJ	tend become age
ESFJ	get do want knock want give
ESTJ	will cost is know
ENFP	want be are talk say know mean stare
ISTP	regretting doing seemed saying could have been s could be can say was
