ENFP	you it
ESTJ	who who your
ENFP	your
ESFJ	I I what I what they
INFJ	she he her
INFP	his
ESTP	it you
ENTP	What
INTJ	you them you them
ISTP	You you your them
ESTP	you you you you
INTP	its who his
INTP	my our
INTP	our
ENFP	we
INTJ	yourself you you your
INFJ	our
INFP	his he his
INFP	us us
ESFP	his his he me I
ENFP	her It
ENFP	you you
ESFP	It it
ESFP	We
ISFP	I it you your you You you
ENFJ	I myself who I myself who I myself I
ISFP	I them I them They I them
ENFJ	my I our
INFP	our itself
ENFP	your
ESFP	We we
ENTP	He who it
ISTP	I It me
ENTP	I you me my I me
ENTJ	you yourself I I
ISTP	you
ISFP	I I I I I I
ENFP	its
ISFP	I you what I I
ENFP	We
INTJ	its
ISFP	I they It their
ENTP	our who it
ENTP	It it
ENTJ	his
ESTJ	I I
ESFJ	It
INFP	your
INTJ	its
ISTJ	I I
ESTJ	my my I me I their I us what our us
ISFP	I my I You you
INFP	his
ESTJ	they you you
INFJ	What
INTP	it its
ESTP	I we
INTP	I my
ESFJ	I I you I I
ENFJ	What me what me you You it you you you
ESFJ	I I I I I my what I
INFP	It endeavour
ISFP	I we
ESTJ	I myself I I I I I I I
ESTP	We It We
INFJ	It it it it
INFP	It us it
INTP	It it you you it
ISFP	my my I you you
INTJ	I they I I I I I they
INFP	I you it it
ISFP	I I You you You you you you I
INTJ	I my I it I I they I I I I I they
ENFP	You what me I who we
ENTP	I you I
INFP	You you yourself you
INFJ	you you you you what you your
ESFJ	you You yourself you You I myself
ISFJ	I I
INFP	You we we
ENTP	I you me my it
ESTP	My my what they they their I
INFJ	it me I
ESFJ	I we
INTP	itself me
INFJ	I my them me
ISTP	I who I I my who I I myself it it you I myself
ENFP	I it I it I
ESTP	I I
ESTP	I I it my
ENFJ	I I me I I you it you you
ISFP	I I it
ENFJ	I my I I I my I
ESFJ	I I it I it I I it I it what I
INFP	You you it you you you you you your
ENTP	I I I I my I You I
ISTJ	I I I what my
ENTP	I it me who my
ISTP	My she my I
ISTP	I I It I myself it I what I
INFJ	it
INFJ	it it
INFP	I I it
ENTJ	I I you you your It
ENTP	You you you your You
ESTP	my their
ENFJ	they
ESFJ	you you You
ESTJ	you your your you
ENFP	I I they I what you their
ISTP	me me I I me
INFJ	It I it my
INFJ	I my who I my it my It
ENFJ	It you your you
ESFP	she what her You who it
ENTJ	I
ISFJ	I You my
ISFJ	my who
ISTP	I I I my I
INTJ	I I they who I my
ENFP	I you it it You it you it you it you
ESFJ	We I
INFP	I I
ESFP	I my We our I
ESFP	I I who
ESFP	I I I my I I myself who herself
ENTJ	it I
INFJ	I
INFJ	You you It I I I
INFP	me what I I
INTP	I I my my
INTP	you my you you it I my
INTP	I it I myself
INFP	I they you
ENTP	we what we it what you it
INFP	I my
INFP	I we we It
ISFP	I me it
ISTP	I I I what my
INFP	You you you you it
INFP	I I
INFP	you yourself you you you you it you it you I I it you
ESTJ	I it we
ENFP	My she me I my my
ISTP	what I my You yourself you I who their
ISTP	I my
INFJ	your me
ESFP	I I my I I
ISTP	My they I
ISTP	I It I who I me my
ISTP	My what I I I I They me I I we
